label,index,filename,mjd,x_star,y_star,flux
"StarA_(2534,3467)",113,V462_sloan_r_60.000secs_00000268_red.fits,60963.24540930556,2301.5417952619587,3375.979567128747,797.2036372508311
"StarA_(2534,3467)",114,V462_sloan_r_60.000secs_00000269_red.fits,60963.24611542824,2533.8530762486735,3467.0273439451585,1825.8889584307817
"StarA_(2534,3467)",115,V462_sloan_r_60.000secs_00000270_red.fits,60963.246821747685,2535.5142226771322,3464.861815672143,2233.66807275423
"StarA_(2534,3467)",116,V462_sloan_r_60.000secs_00000271_red.fits,60963.247528541666,2578.9809268123618,3437.0055441888985,2486.006546279321
"StarA_(2534,3467)",117,V462_sloan_r_60.000secs_00000272_red.fits,60963.24823503472,2535.1695495832955,3465.144352359081,2140.61578759892
"StarA_(2534,3467)",118,V462_sloan_r_60.000secs_00000273_red.fits,60963.24894168982,2559.721790232622,3495.6160492553404,2351.6205901831686
"StarA_(2534,3467)",119,V462_sloan_r_60.000secs_00000274_red.fits,60963.249647743054,2538.5405060189723,3462.172812865974,1676.4341217323902
"StarA_(2534,3467)",120,V462_sloan_r_60.000secs_00000275_red.fits,60963.25035423611,2540.4706121661493,3463.7894892535855,1195.9308212897681
"StarA_(2534,3467)",121,V462_sloan_r_60.000secs_00000276_red.fits,60963.25106126157,2536.3731997166974,3471.2868874075252,2801.957003854422
"StarA_(2534,3467)",122,V462_sloan_r_60.000secs_00000277_red.fits,60963.25176775463,2436.689804427831,3489.8796947346323,1182.3062345998164
"StarA_(2534,3467)",123,V462_sloan_r_60.000secs_00000278_red.fits,60963.252473912034,2536.2977996771533,3464.7007356404447,2348.4842401378
"StarA_(2534,3467)",124,V462_sloan_r_60.000secs_00000279_red.fits,60963.2531800463,2535.952180860594,3465.118039036701,1704.2763325332162
"StarA_(2534,3467)",125,V462_sloan_r_60.000secs_00000280_red.fits,60963.25389166667,2537.02303678079,3548.024932704261,868.4134523052538
"StarA_(2534,3467)",126,V462_sloan_r_60.000secs_00000281_red.fits,60963.25459866898,2536.508209873333,3464.833812197224,2218.2262938623253
"StarA_(2534,3467)",127,V462_sloan_r_60.000secs_00000282_red.fits,60963.25530483796,2421.8235831422776,3441.406517844046,260.8289159563384
"StarA_(2534,3467)",128,V462_sloan_r_60.000secs_00000283_red.fits,60963.25601138889,2539.4168937111904,3464.141824321115,1007.8449133960105
"StarA_(2534,3467)",129,V462_sloan_r_60.000secs_00000284_red.fits,60963.25671810185,2549.79322147455,3457.6884800109874,526.0396820066464
"StarA_(2534,3467)",130,V462_sloan_r_60.000secs_00000285_red.fits,60963.25742434028,2533.741494728369,3464.9997494115187,1944.4962312764035
"StarA_(2534,3467)",131,V462_sloan_r_60.000secs_00000286_red.fits,60963.258130462964,2525.3151402034327,3463.7505981112668,2180.613466138767
"StarA_(2534,3467)",132,V462_sloan_r_60.000secs_00000287_red.fits,60963.258836875,2535.6583077011082,3464.7767300672353,2355.3135907933906
